,Unnamed: 0,브랜드,매장이름,매장주소,구 이름,lat,lng
0,0,스타벅스,역삼아레나빌딩  ,"서울 중랑구 동일로 815, 1층",강남구,37.4966645,127.0629804
1,1,스타벅스,논현역사거리  ,"서울 중랑구 동일로 815, 1층",강남구,37.5164665,127.0404191
2,2,스타벅스,신사역성일빌딩  ,"서울 중랑구 동일로 815, 1층",강남구,37.514236,127.031593
3,3,스타벅스,국기원사거리  ,"서울 중랑구 동일로 815, 1층",강남구,37.4991887,127.0633458
4,4,스타벅스,대치재경빌딩R  ,"서울 중랑구 동일로 815, 1층",강남구,37.522336,127.031173
5,5,스타벅스,봉은사역  ,"서울 중랑구 동일로 815, 1층",강남구,37.4966645,127.0629804
6,6,스타벅스,압구정윤성빌딩  ,"서울 중랑구 동일로 815, 1층",강남구,37.4762779,127.1003704
7,7,스타벅스,코엑스별마당  ,"서울 중랑구 동일로 815, 1층",강남구,37.4893117,127.0688124
8,8,스타벅스,삼성역섬유센터R  ,"서울 중랑구 동일로 815, 1층",강남구,37.5173236,127.034148
9,9,스타벅스,압구정R  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
10,10,스타벅스,수서역R  ,"서울 중랑구 동일로 815, 1층",강남구,37.4823936,127.0430248
11,11,스타벅스,양재강남빌딩R  ,"서울 중랑구 동일로 815, 1층",강남구,37.522011,127.034575
12,12,스타벅스,선릉동신빌딩R  ,"서울 중랑구 동일로 815, 1층",강남구,37.50698939999999,127.061869
13,13,스타벅스,봉은사로선정릉  ,"서울 중랑구 동일로 815, 1층",강남구,37.516955,127.0417748
14,14,스타벅스,강남오거리  ,"서울 중랑구 동일로 815, 1층",강남구,37.5128889,127.0526509
15,15,스타벅스,스타필드코엑스몰R  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
16,16,스타벅스,강남구청정문  ,"서울 중랑구 동일로 815, 1층",강남구,37.504487,127.048957
17,17,스타벅스,도곡공원  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
18,18,스타벅스,강남R  ,"서울 중랑구 동일로 815, 1층",강남구,37.4874685,127.1013245
19,19,스타벅스,대치은마사거리  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
20,20,스타벅스,청담영동대로  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
21,21,스타벅스,압구정  ,"서울 중랑구 동일로 815, 1층",강남구,37.5271478,127.0334517
22,22,스타벅스,신사가로수  ,"서울 중랑구 동일로 815, 1층",강남구,37.4928313,127.0391191
23,23,스타벅스,청담스타R  ,"서울 중랑구 동일로 815, 1층",강남구,37.5047772,127.0434189
24,24,스타벅스,강남우성  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
25,25,스타벅스,학동사거리  ,"서울 중랑구 동일로 815, 1층",강남구,37.4985129,127.0479773
26,26,스타벅스,대치사거리  ,"서울 중랑구 동일로 815, 1층",강남구,37.5000776,127.0385419
27,27,스타벅스,포스코사거리  ,"서울 중랑구 동일로 815, 1층",강남구,37.50024459999999,127.0428592
28,28,스타벅스,을지병원사거리  ,"서울 중랑구 동일로 815, 1층",강남구,37.5056544,127.035549
29,29,스타벅스,신사역  ,"서울 중랑구 동일로 815, 1층",강남구,37.4951242,127.0311487
30,30,스타벅스,도곡역  ,"서울 중랑구 동일로 815, 1층",강남구,37.5187933,127.0287749
31,31,스타벅스,서울세관사거리  ,"서울 중랑구 동일로 815, 1층",강남구,37.5104556,127.0328766
32,32,스타벅스,청담사거리  ,"서울 중랑구 동일로 815, 1층",강남구,37.4880579,127.0828672
33,33,스타벅스,한티역  ,"서울 중랑구 동일로 815, 1층",강남구,37.5241801,127.0473251
34,34,스타벅스,역삼초교사거리  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
35,35,스타벅스,코엑스몰  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
36,36,스타벅스,가로수길  ,"서울 중랑구 동일로 815, 1층",강남구,37.5136787,127.0317124
37,37,스타벅스,역삼대로  ,"서울 중랑구 동일로 815, 1층",강남구,37.51308,127.0336405
38,38,스타벅스,역삼포스코  ,"서울 중랑구 동일로 815, 1층",강남구,37.6405924,127.0161551
39,39,스타벅스,강남대로  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
40,40,스타벅스,청담  ,"서울 중랑구 동일로 815, 1층",강남구,37.6214313,127.0406246
41,41,스타벅스,삼성도심공항  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
42,42,스타벅스,삼성교  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
43,43,스타벅스,학동역  ,"서울 중랑구 동일로 815, 1층",강남구,37.6218623,127.0281853
44,44,스타벅스,대치  ,"서울 중랑구 동일로 815, 1층",강남구,37.629038,127.0367452
45,45,스타벅스,SSG마켓도곡R  ,"서울 중랑구 동일로 815, 1층",강남구,37.660833,126.993333
46,46,스타벅스,삼성  ,"서울 중랑구 동일로 815, 1층",강남구,37.616351,127.019038
47,47,스타벅스,선릉세화빌딩  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
48,48,스타벅스,압구정역  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
49,49,스타벅스,압구정로  ,"서울 중랑구 동일로 815, 1층",강남구,37.6626046,127.0113765
50,50,스타벅스,구역삼사거리  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
51,51,스타벅스,큰길타워  ,"서울 중랑구 동일로 815, 1층",강남구,37.5592805,126.8393255
52,52,스타벅스,강남구청역  ,"서울 중랑구 동일로 815, 1층",강남구,37.5548971,126.8558599
53,53,스타벅스,대치역  ,"서울 중랑구 동일로 815, 1층",강남구,37.5612346,126.8228132
54,54,스타벅스,포이  ,"서울 중랑구 동일로 815, 1층",강남구,37.5650437,126.8488292
55,55,스타벅스,아크플레이스  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
56,56,스타벅스,학여울역  ,"서울 중랑구 동일로 815, 1층",강남구,Nan,Nan
57,57,스타벅스,선정릉역  ,"서울 중랑구 동일로 815, 1층",강남구,35.1728688,128.9471783
58,58,스타벅스,삼성현대힐  ,"서울 중랑구 동일로 815, 1층",강남구,37.5475815,126.8487431
59,59,스타벅스,GS타워  ,"서울 중랑구 동일로 815, 1층",강남구,37.5317675,126.8467055
