기간	구분	구분	전체	남자	여자
2009	서울시	서울시	24.3	45.5	4
2009	생애주기별	19~29세	24.9	43.8	6
2009	생애주기별	30~44세	29.9	55.1	3.8
2009	생애주기별	45~64세	22.6	43.2	3.3
2009	생애주기별	65세 이상	11.5	22.8	2.9
2009	교육수준별Ⅰ(30~64세)	중졸이하	22.9	52.8	4.9
2009	교육수준별Ⅰ(30~64세)	고졸	27.7	54.5	4.4
2009	교육수준별Ⅰ(30~64세)	대졸이상	26.5	45	1.9
2009	교육수준별Ⅱ(65세 이상)	초졸이하	8.9	25	…
2009	교육수준별Ⅱ(65세 이상)	중졸	15.1	28	…
2009	교육수준별Ⅱ(65세 이상)	고졸이상	14.1	20.1	…
2009	직업별(30~64세)	육체직	40.3	55.7	4.9
2009	직업별(30~64세)	서비스ㆍ판매직	31.5	54.6	5.8
2009	직업별(30~64세)	사무직	31.5	45.1	2.7
2009	종로구	종로구	23	41.2	5.3
2009	중구	중구	27	48.7	5.3
2009	용산구	용산구	25.1	46.2	5.4
2009	성동구	성동구	25.3	47.3	3.5
2009	광진구	광진구	24.3	44	5.4
2009	동대문구	동대문구	26.9	48.8	F
2009	중랑구	중랑구	25.3	47	3.8
2009	성북구	성북구	25.4	48.3	3.5
2009	강북구	강북구	26.7	48.6	5.5
2009	도봉구	도봉구	25	47.5	3.5
2009	노원구	노원구	22.3	43.4	F
2009	은평구	은평구	24	46	3.1
2009	서대문구	서대문구	23.8	44.3	4.6
2009	마포구	마포구	26.7	49.7	5.4
2009	양천구	양천구	24.4	47.6	2.3
2009	강서구	강서구	24.6	46.6	3.7
2009	구로구	구로구	25.3	47.4	3.2
2009	금천구	금천구	26.8	50	2.8
2009	영등포구	영등포구	24.3	43.2	5.4
2009	동작구	동작구	21.5	42.1	F
2009	관악구	관악구	27.7	49.2	5.7
2009	서초구	서초구	20.6	39	3.7
2009	강남구	강남구	19.4	36.4	4.5
2009	송파구	송파구	23	44.5	2.9
2009	강동구	강동구	24.3	43.9	5.1
2010	서울시	서울시	23.2	43.5	3.6
2010	생애주기별	19~29세	23.8	43.2	4.4
2010	생애주기별	30~44세	28.8	53.4	3.5
2010	생애주기별	45~64세	21.4	40.6	3.6
2010	생애주기별	65세 이상	11.4	21.9	2.9
2010	교육수준별Ⅰ(30~64세)	중졸이하	21	47.6	4.8
2010	교육수준별Ⅰ(30~64세)	고졸	27	53.8	4.7
2010	교육수준별Ⅰ(30~64세)	대졸이상	25	43.1	1.9
2010	교육수준별Ⅱ(65세 이상)	초졸이하	9.6	25.5	…
2010	교육수준별Ⅱ(65세 이상)	중졸	13.1	23.2	…
2010	교육수준별Ⅱ(65세 이상)	고졸이상	13.4	19.6	…
2010	직업별(30~64세)	육체직	38.7	54.1	4.1
2010	직업별(30~64세)	서비스ㆍ판매직	31.4	51.9	7.3
2010	직업별(30~64세)	사무직	30	43.5	2.9
2010	종로구	종로구	23.1	42.3	4.4
2010	중구	중구	24.1	43.1	5.1
2010	용산구	용산구	24.5	45.3	5.1
2010	성동구	성동구	22.6	42.1	3.2
2010	광진구	광진구	25.1	45.8	5.1
2010	동대문구	동대문구	25.7	47.6	3.7
2010	중랑구	중랑구	23.1	43.5	2.9
2010	성북구	성북구	25.8	47.5	5
2010	강북구	강북구	25.2	46.3	4.9
2010	도봉구	도봉구	25.4	46.7	5.2
2010	노원구	노원구	23.2	45.8	2.5
2010	은평구	은평구	23.3	43.3	4.4
2010	서대문구	서대문구	22.4	43.2	2.9
2010	마포구	마포구	23.5	43.8	4.8
2010	양천구	양천구	21.5	41.4	2.4
2010	강서구	강서구	22.1	41.7	3.5
2010	구로구	구로구	23.1	43.5	2.6
2010	금천구	금천구	26.8	49.9	3
2010	영등포구	영등포구	22.3	42.8	1.9
2010	동작구	동작구	23.2	43.2	4.2
2010	관악구	관악구	23.9	43.2	4.2
2010	서초구	서초구	19	35.7	3.8
2010	강남구	강남구	18.8	35.7	3.8
2010	송파구	송파구	20.7	42	F
2010	강동구	강동구	26.7	48.4	5.5
2011	서울시	서울시	22.3	42	3.5
2011	생애주기별	19~29세	22.5	40	4.9
2011	생애주기별	30~44세	28.6	52.3	4
2011	생애주기별	45~64세	20.4	39.6	2.7
2011	생애주기별	65세 이상	10.5	20.3	2.6
2011	교육수준별Ⅰ(30~64세)	중졸이하	18.6	43.1	3.9
2011	교육수준별Ⅰ(30~64세)	고졸	27.7	54.4	4.6
2011	교육수준별Ⅰ(30~64세)	대졸이상	24.1	41.9	2
2011	교육수준별Ⅱ(65세 이상)	초졸이하	9.1	24.2	…
2011	교육수준별Ⅱ(65세 이상)	중졸	11.2	20.5	…
2011	교육수준별Ⅱ(65세 이상)	고졸이상	11.9	17.2	…
2011	직업별(30~64세)	육체직	35.5	50.3	3.4
2011	직업별(30~64세)	서비스ㆍ판매직	29.6	52.3	5.8
2011	직업별(30~64세)	사무직	28.5	42.6	2.8
2011	종로구	종로구	24.9	46.9	3.4
2011	중구	중구	25	45.6	4.2
